dpse	dmel
FBgn0070377	FBgn0034636
FBgn0070379	FBgn0037531
FBgn0070380	FBgn0032741
FBgn0070381	FBgn0032816
FBgn0070382	FBgn0002022
FBgn0070385	FBgn0034443
FBgn0070386	FBgn0032815
FBgn0070387	FBgn0032819
FBgn0070388	FBgn0033017
FBgn0070389	FBgn0032822
FBgn0070390	FBgn0035679
FBgn0070391	FBgn0035678
FBgn0070392	FBgn0032746
FBgn0070393	FBgn0035670
FBgn0070394	FBgn0263198
FBgn0070395	FBgn0035667
FBgn0070397	FBgn0035656
FBgn0070398	FBgn0004054
FBgn0070399	FBgn0002638
FBgn0070400	FBgn0032827
FBgn0070401	FBgn0035649
FBgn0070402	FBgn0261396
FBgn0070403	FBgn0035647
FBgn0070404	NA
FBgn0070405	FBgn0035644
FBgn0070406	FBgn0041342
FBgn0070407	FBgn0003984
FBgn0070409	FBgn0032749
FBgn0070411	FBgn0032750
FBgn0070412	FBgn0034631
FBgn0070413	FBgn0010415
FBgn0070414	FBgn0004107
FBgn0070415	FBgn0028427
FBgn0070416	FBgn0034612
FBgn0070417	FBgn0027090
FBgn0070418	FBgn0037060
FBgn0070419	FBgn0037059
FBgn0070420	FBgn0037057
FBgn0070421	FBgn0039311
FBgn0070422	FBgn0039312
FBgn0070424	FBgn0003882
FBgn0070425	FBgn0015774
FBgn0070426	FBgn0002466
FBgn0070427	FBgn0041100
FBgn0070429	FBgn0034583
FBgn0070430	FBgn0004811
FBgn0070433	FBgn0034582
FBgn0070436	FBgn0037926
FBgn0070437	FBgn0011241
FBgn0070439	FBgn0011668
FBgn0070440	FBgn0015806
FBgn0070441	FBgn0034577
FBgn0070442	FBgn0035638
FBgn0070443	FBgn0086694
FBgn0070445	FBgn0035636
FBgn0070446	FBgn0039321
FBgn0070450	FBgn0087012
FBgn0070451	FBgn0039325
FBgn0070452	FBgn0002036
FBgn0070454	FBgn0086445
FBgn0070455	FBgn0024150
FBgn0070456	FBgn0037051
FBgn0070457	FBgn0037050
FBgn0070459	FBgn0040992
FBgn0070460	FBgn0015904
FBgn0070461	FBgn0020294
FBgn0070462	FBgn0028429
FBgn0070463	FBgn0035632
FBgn0070464	FBgn0035630
FBgn0070465	FBgn0263106
FBgn0070466	FBgn0005640
FBgn0070467	FBgn0022981
FBgn0070468	FBgn0011591
FBgn0070469	FBgn0037046
FBgn0070470	FBgn0028402
FBgn0070471	FBgn0035627
FBgn0070472	FBgn0037045
FBgn0070473	FBgn0037044
FBgn0070474	FBgn0037038
FBgn0070475	FBgn0037035
FBgn0070476	FBgn0087013
FBgn0070477	FBgn0035622
FBgn0070478	FBgn0035621
FBgn0070479	FBgn0035619
FBgn0070480	FBgn0016122
FBgn0070481	FBgn0003486
FBgn0070483	FBgn0015766
FBgn0070487	FBgn0014343
FBgn0070489	FBgn0032720
FBgn0070490	FBgn0000529
FBgn0070491	FBgn0015919
FBgn0070492	FBgn0037324
FBgn0070493	FBgn0028436
FBgn0070494	FBgn0037322
FBgn0070495	FBgn0036286
FBgn0070496	FBgn0261085
FBgn0070498	FBgn0003896
FBgn0070499	FBgn0036299
FBgn0070500	FBgn0032726
FBgn0070501	FBgn0029118
FBgn0070502	FBgn0032727
FBgn0070503	FBgn0010894
FBgn0070504	FBgn0035612
FBgn0070506	FBgn0036298
FBgn0070507	FBgn0032818
FBgn0070508	FBgn0085371
FBgn0070509	FBgn0010051
FBgn0070510	FBgn0032817
FBgn0070511	FBgn0036302
FBgn0070512	FBgn0035604
FBgn0070513	FBgn0035603
FBgn0070514	FBgn0015772
FBgn0070516	FBgn0032729
FBgn0070518	FBgn0035601
FBgn0070519	FBgn0032731
FBgn0070520	FBgn0004380
FBgn0070521	FBgn0016031
FBgn0070522	FBgn0036292
FBgn0070523	FBgn0030067
FBgn0070525	FBgn0046302
FBgn0070526	FBgn0001202
FBgn0070528	FBgn0002021
FBgn0070530	FBgn0014000
FBgn0070532	FBgn0036288
FBgn0070533	NA
FBgn0070534	FBgn0036287
FBgn0070535	FBgn0032833
FBgn0070536	FBgn0022772
FBgn0070538	FBgn0263831
FBgn0070540	FBgn0035588
FBgn0070541	FBgn0035590
FBgn0070542	FBgn0035592
FBgn0070545	FBgn0032725
FBgn0070547	FBgn0036291
FBgn0070548	FBgn0264848
FBgn0070550	FBgn0086447
FBgn0070552	FBgn0086443
FBgn0070553	FBgn0036300
FBgn0070554	FBgn0086444
FBgn0070555	FBgn0002031
FBgn0070556	FBgn0028707
FBgn0070557	FBgn0003429
FBgn0070558	FBgn0039147
FBgn0070559	FBgn0029878
FBgn0070561	FBgn0036278
FBgn0070562	FBgn0002023
FBgn0070564	FBgn0011661
FBgn0070565	FBgn0032752
FBgn0070566	FBgn0037881
FBgn0070569	FBgn0024371
FBgn0070570	FBgn0036377
FBgn0070571	FBgn0086785
FBgn0070574	FBgn0001256
FBgn0070575	FBgn0004374
FBgn0070576	FBgn0010300
FBgn0070577	FBgn0013751
FBgn0070578	FBgn0032846
FBgn0070579	FBgn0032848
FBgn0070580	FBgn0032850
FBgn0070581	FBgn0260049
FBgn0070582	FBgn0036362
FBgn0070583	FBgn0014127
FBgn0070584	FBgn0003978
FBgn0070585	FBgn0032843
FBgn0070586	FBgn0036365
FBgn0070587	FBgn0061492
FBgn0070588	FBgn0034420
FBgn0070589	FBgn0036368
FBgn0070590	FBgn0010309
FBgn0070591	FBgn0037250
FBgn0070592	FBgn0036373
FBgn0070594	FBgn0036376
FBgn0070596	FBgn0032845
FBgn0070597	FBgn0036327
FBgn0070598	NA
FBgn0070599	FBgn0032769
FBgn0070600	FBgn0024196
FBgn0070601	FBgn0261933
FBgn0070602	FBgn0036314
FBgn0070604	FBgn0032847
FBgn0070608	FBgn0030015
FBgn0070609	FBgn0030011
FBgn0070610	FBgn0037405
FBgn0070612	FBgn0024179
FBgn0070613	FBgn0029979
FBgn0070614	FBgn0029980
FBgn0070616	FBgn0010296
FBgn0070617	FBgn0026592
FBgn0070619	FBgn0029656
FBgn0070620	FBgn0034407
FBgn0070621	FBgn0034626
FBgn0070622	FBgn0262656
FBgn0070623	FBgn0017551
FBgn0070624	FBgn0029664
FBgn0070625	FBgn0029666
FBgn0070626	FBgn0029663
FBgn0070627	FBgn0086451
FBgn0070628	FBgn0031865
FBgn0070629	FBgn0033876
FBgn0070630	FBgn0036052
FBgn0070631	FBgn0041191
FBgn0070632	FBgn0023213
FBgn0070633	FBgn0033830
FBgn0070634	FBgn0010388
FBgn0070635	FBgn0015572
FBgn0070636	FBgn0038880
FBgn0070637	FBgn0038865
FBgn0070638	FBgn0038860
FBgn0070639	FBgn0038845
FBgn0070640	FBgn0038839
FBgn0070641	FBgn0031689
FBgn0070642	FBgn0032972
FBgn0070643	FBgn0028570
FBgn0070644	FBgn0028858
FBgn0070645	FBgn0037240
FBgn0070646	FBgn0026259
FBgn0070647	FBgn0038163
FBgn0070650	FBgn0011286
FBgn0070651	FBgn0039246
FBgn0070652	FBgn0040228
FBgn0070653	NA
FBgn0070654	FBgn0035471
FBgn0070656	FBgn0004587
FBgn0070658	NA
FBgn0070659	NA
FBgn0070660	FBgn0032520
FBgn0070663	FBgn0027552
FBgn0070664	FBgn0038621
FBgn0070665	FBgn0035475
FBgn0070666	FBgn0004882
FBgn0070667	FBgn0031347
FBgn0070669	FBgn0031395
FBgn0070670	FBgn0038804
FBgn0070671	FBgn0015324
FBgn0070672	FBgn0031398
FBgn0070673	FBgn0038796
FBgn0070676	FBgn0038769
FBgn0070678	FBgn0019686
FBgn0070679	NA
FBgn0070680	FBgn0037911
FBgn0070681	FBgn0039235
FBgn0070683	FBgn0003015
FBgn0070684	FBgn0037543
FBgn0070685	FBgn0034945
FBgn0070686	FBgn0036207
FBgn0070687	FBgn0031376
FBgn0070688	FBgn0038090
FBgn0070689	FBgn0037470
FBgn0070691	FBgn0034295
FBgn0070692	FBgn0034296
FBgn0070693	FBgn0028983
FBgn0070694	FBgn0034307
FBgn0070695	NA
FBgn0070696	FBgn0034312
FBgn0070697	FBgn0000658
FBgn0070699	FBgn0037228
FBgn0070701	FBgn0011638
FBgn0070702	FBgn0004379
FBgn0070703	FBgn0034356
FBgn0070704	FBgn0034360
FBgn0070706	FBgn0034274
FBgn0070707	FBgn0029969
FBgn0070709	FBgn0034253
FBgn0070710	FBgn0016697
FBgn0070711	NA
FBgn0070713	FBgn0261592
FBgn0070714	FBgn0029974
FBgn0070715	FBgn0032857
FBgn0070716	FBgn0036317
FBgn0070717	FBgn0032858
FBgn0070718	FBgn0045980
FBgn0070720	FBgn0032859
FBgn0070721	FBgn0034722
FBgn0070723	FBgn0030004
FBgn0070724	FBgn0030010
FBgn0070726	FBgn0026318
FBgn0070728	FBgn0030026
FBgn0070729	FBgn0030028
FBgn0070731	FBgn0260945
FBgn0070733	FBgn0030078
FBgn0070735	FBgn0034730
FBgn0070736	FBgn0036306
FBgn0070737	FBgn0014007
FBgn0070739	FBgn0037374
FBgn0070740	FBgn0037379
FBgn0070741	FBgn0027497
FBgn0070742	FBgn0037384
FBgn0070743	FBgn0036305
FBgn0070744	FBgn0001087
FBgn0070745	FBgn0001612
FBgn0070747	FBgn0023388
FBgn0070749	FBgn0030332
FBgn0070750	FBgn0030521
FBgn0070753	FBgn0030529
FBgn0070754	FBgn0031142
FBgn0070756	FBgn0028690
FBgn0070757	FBgn0263353
FBgn0070758	FBgn0013954
FBgn0070759	FBgn0262714
FBgn0070760	FBgn0034455
FBgn0070762	FBgn0036318
FBgn0070763	FBgn0010774
FBgn0070764	FBgn0036319
FBgn0070765	FBgn0031830
FBgn0070766	FBgn0034464
FBgn0070767	FBgn0027930
FBgn0070768	FBgn0000318
FBgn0070770	FBgn0013749
FBgn0070771	FBgn0031735
FBgn0070772	FBgn0037235
FBgn0070773	FBgn0031736
FBgn0070775	FBgn0031741
FBgn0070776	FBgn0037544
FBgn0070778	FBgn0037467
FBgn0070779	FBgn0034481
FBgn0070780	FBgn0031831
FBgn0070782	FBgn0034487
FBgn0070783	FBgn0037465
FBgn0070784	FBgn0031836
FBgn0070787	FBgn0034491
FBgn0070788	FBgn0010225
FBgn0070789	FBgn0034697
FBgn0070790	FBgn0024913
FBgn0070792	FBgn0087002
FBgn0070793	FBgn0033033
FBgn0070795	FBgn0039244
FBgn0070796	FBgn0037218
FBgn0070797	FBgn0028467
FBgn0070798	FBgn0264981
FBgn0070800	FBgn0034693
FBgn0070801	FBgn0085453
FBgn0070802	FBgn0015574
FBgn0070803	FBgn0025741
FBgn0070804	FBgn0003090
FBgn0070806	FBgn0033153
FBgn0070807	FBgn0039241
FBgn0070808	FBgn0046222
FBgn0070809	FBgn0027537
FBgn0070811	FBgn0000504
FBgn0070812	FBgn0030528
FBgn0070813	FBgn0031842
FBgn0070814	FBgn0034485
FBgn0070815	FBgn0037207
FBgn0070816	FBgn0003174
FBgn0070817	FBgn0030522
FBgn0070818	FBgn0261569
FBgn0070819	FBgn0033160
FBgn0070820	FBgn0037200
FBgn0070821	FBgn0034535
FBgn0070822	FBgn0003218
FBgn0070823	FBgn0037202
FBgn0070824	FBgn0015575
FBgn0070826	FBgn0003460
FBgn0070828	FBgn0033169
FBgn0070829	FBgn0033170
FBgn0070830	FBgn0033174
FBgn0070831	NA
FBgn0070832	FBgn0033178
FBgn0070833	FBgn0037203
FBgn0070834	FBgn0004047
FBgn0070835	FBgn0037304
FBgn0070836	FBgn0020909
FBgn0070837	NA
FBgn0070838	FBgn0034537
FBgn0070839	FBgn0030518
FBgn0070840	FBgn0034540
FBgn0070841	FBgn0037199
FBgn0070843	FBgn0033179
FBgn0070845	FBgn0033177
FBgn0070846	NA
FBgn0070850	FBgn0031734
FBgn0070851	FBgn0039936
FBgn0070852	FBgn0031732
FBgn0070853	FBgn0037299
FBgn0070854	FBgn0030519
FBgn0070855	FBgn0039937
FBgn0070856	FBgn0039938
FBgn0070858	FBgn0002878
FBgn0070859	NA
FBgn0070860	FBgn0034539
FBgn0070861	FBgn0037297
FBgn0070862	FBgn0030257
FBgn0070863	FBgn0030509
FBgn0070865	FBgn0030507
FBgn0070866	FBgn0051960
FBgn0070868	FBgn0039249
FBgn0070870	FBgn0034705
FBgn0070871	NA
FBgn0070872	FBgn0034913
FBgn0070873	FBgn0034530
FBgn0070874	FBgn0030503
FBgn0070875	FBgn0030499
FBgn0070878	FBgn0025334
FBgn0070879	FBgn0034921
FBgn0070880	FBgn0034923
FBgn0070882	FBgn0004913
FBgn0070883	FBgn0030035
FBgn0070884	FBgn0033249
FBgn0070885	FBgn0034507
FBgn0070886	FBgn0027788
FBgn0070887	FBgn0033248
FBgn0070888	FBgn0033246
FBgn0070889	FBgn0046704
FBgn0070890	FBgn0035462
FBgn0070891	FBgn0034500
FBgn0070892	FBgn0031853
FBgn0070893	FBgn0021767
FBgn0070894	FBgn0264502
FBgn0070895	FBgn0003082
FBgn0070896	FBgn0034720
FBgn0070897	FBgn0030241
FBgn0070898	FBgn0034488
FBgn0070899	FBgn0015576
FBgn0070900	FBgn0033259
FBgn0070901	FBgn0033067
FBgn0070903	NA
FBgn0070905	FBgn0034471
FBgn0070907	FBgn0031855
FBgn0070908	FBgn0261456
FBgn0070910	FBgn0261624
FBgn0070911	FBgn0031860
FBgn0070912	FBgn0034452
FBgn0070913	FBgn0010830
FBgn0070914	FBgn0037290
FBgn0070915	FBgn0037186
FBgn0070916	FBgn0034451
FBgn0070917	FBgn0259680
FBgn0070918	FBgn0037121
FBgn0070919	FBgn0037120
FBgn0070920	FBgn0037117
FBgn0070921	FBgn0037115
FBgn0070923	FBgn0036338
FBgn0070926	FBgn0034442
FBgn0070927	FBgn0036335
FBgn0070928	FBgn0037280
FBgn0070929	NA
FBgn0070930	FBgn0036332
FBgn0070931	NA
FBgn0070932	FBgn0031883
FBgn0070933	FBgn0036334
FBgn0070934	FBgn0036336
FBgn0070935	FBgn0034700
FBgn0070936	FBgn0260441
FBgn0070938	FBgn0034706
FBgn0070939	FBgn0011284
FBgn0070940	FBgn0036341
FBgn0070941	FBgn0036342
FBgn0070942	FBgn0015577
FBgn0070943	FBgn0010452
FBgn0070944	FBgn0086916
FBgn0070946	FBgn0030056
FBgn0070947	FBgn0037516
FBgn0070948	FBgn0037279
FBgn0070949	FBgn0034975
FBgn0070951	FBgn0265052
FBgn0070952	FBgn0030058
FBgn0070953	FBgn0013548
FBgn0070954	FBgn0034721
FBgn0070955	FBgn0034897
FBgn0070957	FBgn0034726
FBgn0070958	FBgn0020372
FBgn0070959	FBgn0039631
FBgn0070960	FBgn0037108
FBgn0070961	FBgn0002842
FBgn0070962	FBgn0037070
FBgn0070963	FBgn0015569
FBgn0070965	FBgn0011674
FBgn0070966	FBgn0039800
FBgn0070968	FBgn0039816
FBgn0070969	FBgn0039818
FBgn0070970	FBgn0031835
FBgn0070971	FBgn0004895
FBgn0070972	FBgn0031837
FBgn0070973	FBgn0031857
FBgn0070974	FBgn0031854
FBgn0070975	FBgn0025777
FBgn0070976	FBgn0025595
FBgn0070977	FBgn0031850
FBgn0070978	FBgn0028703
FBgn0070979	FBgn0031848
FBgn0070980	NA
FBgn0070981	FBgn0000351
FBgn0070982	FBgn0028990
FBgn0070983	FBgn0039850
FBgn0070984	FBgn0039849
FBgn0070985	FBgn0039848
FBgn0070986	FBgn0039846
FBgn0070988	FBgn0035483
FBgn0070989	FBgn0039840
FBgn0070990	FBgn0035537
FBgn0070992	FBgn0035542
FBgn0070993	FBgn0000038
FBgn0070994	NA
FBgn0070995	FBgn0263832
FBgn0070997	NA
FBgn0070998	FBgn0035557
FBgn0070999	FBgn0026411
FBgn0071001	FBgn0035558
FBgn0071002	FBgn0035490
FBgn0071003	FBgn0039920
FBgn0071004	FBgn0037185
FBgn0071006	FBgn0029951
FBgn0071007	FBgn0037454
FBgn0071008	NA
FBgn0071009	FBgn0067779
FBgn0071010	FBgn0031213
FBgn0071011	FBgn0031214
FBgn0071012	FBgn0039227
FBgn0071013	FBgn0031216
FBgn0071014	FBgn0031217
FBgn0071015	FBgn0040364
FBgn0071016	FBgn0040362
FBgn0071017	FBgn0037456
FBgn0071018	FBgn0040359
FBgn0071019	FBgn0029568
FBgn0071020	FBgn0040367
FBgn0071021	FBgn0040363
FBgn0071024	FBgn0034959
FBgn0071025	FBgn0035300
FBgn0071026	FBgn0011695
FBgn0071027	FBgn0038732
FBgn0071029	FBgn0037022
FBgn0071031	FBgn0040366
FBgn0071032	FBgn0037021
FBgn0071033	FBgn0035298
FBgn0071034	FBgn0034198
FBgn0071035	FBgn0037170
FBgn0071036	FBgn0026876
FBgn0071037	FBgn0028550
FBgn0071038	FBgn0034990
FBgn0071039	FBgn0038730
FBgn0071040	FBgn0024366
FBgn0071042	FBgn0024362
FBgn0071044	FBgn0035024
FBgn0071045	FBgn0024361
FBgn0071046	FBgn0035025
FBgn0071048	FBgn0024360
FBgn0071049	FBgn0034231
FBgn0071050	FBgn0000826
FBgn0071051	FBgn0011281
FBgn0071052	FBgn0010403
FBgn0071054	FBgn0037167
FBgn0071055	FBgn0037166
FBgn0071056	FBgn0003210
FBgn0071058	NA
FBgn0071059	FBgn0029713
FBgn0071060	FBgn0037165
FBgn0071061	FBgn0037164
FBgn0071062	FBgn0037163
FBgn0071063	FBgn0029715
FBgn0071064	FBgn0038737
FBgn0071065	FBgn0024985
