"gid"	"chr"	"start"	"end"	"length_aef"	"gname"
"FBgn0070073"	"4_group3"	4940050	4943455	2265	"Dpse\GA10014"
"FBgn0070075"	"4_group4"	6033474	6034630	873	"Dpse\GA10016"
"FBgn0070076"	"2_"	26568912	26570147	1236	"Dpse\GA10017"
"FBgn0070079"	"4_group3"	5086831	5108026	4509	"Dpse\GA10020"
"FBgn0070080"	"4_group4"	6023229	6024722	1494	"Dpse\GA10021"
"FBgn0070081"	"2_"	5437039	5437958	855	"Dpse\GA10022"
"FBgn0070082"	"3_"	8369261	8387661	1344	"Dpse\GA10023"
"FBgn0070083"	"XR_group8"	5131714	5133981	2190	"Dpse\GA10024"
"FBgn0070084"	"2_"	22989396	22990895	1093	"Dpse\GA10025"
"FBgn0070086"	"XR_group3a"	630043	631840	1098	"Dpse\rho"
"FBgn0070087"	"2_"	22991464	22992360	825	"Dpse\GA10028"
"FBgn0070089"	"4_group4"	2609015	2618498	5280	"Dpse\GA10030"
"FBgn0070090"	"2_"	5424761	5425390	630	"Dpse\GA10031"
"FBgn0070092"	"2_"	26506106	26506928	759	"Dpse\GA10033"
"FBgn0070093"	"3_"	7421353	7424287	2601	"Dpse\GA10034"
"FBgn0070094"	"3_"	8331101	8352533	2766	"Dpse\GA10035"
"FBgn0070095"	"2_"	26503417	26504364	897	"Dpse\GA10036"
"FBgn0070096"	"2_"	26440129	26454176	2178	"Dpse\GA10037"
"FBgn0070097"	"2_"	26407714	26408439	726	"Dpse\GA10038"
"FBgn0070098"	"XR_group5"	666144	671828	1068	"Dpse\GA10039"
"FBgn0070101"	"XR_group5"	664217	665074	801	"Dpse\GA10042"
"FBgn0070102"	"XR_group5"	658841	661301	2223	"Dpse\GA10043"
"FBgn0070105"	"2_"	26383571	26384579	951	"Dpse\GA10046"
"FBgn0070107"	"XR_group8"	4480253	4482795	582	"Dpse\GA10048"
"FBgn0070108"	"3_"	3653286	3653585	231	"Dpse\GA10049"
"FBgn0070109"	"XR_group5"	654285	657755	1431	"Dpse\GA10050"
"FBgn0070110"	"3_"	7437963	7441171	2619	"Dpse\GA10051"
"FBgn0070111"	"XR_group5"	651614	652633	780	"Dpse\GA10052"
"FBgn0070112"	"4_group4"	2562127	2600566	3138	"Dpse\GA10053"
"FBgn0070114"	"XR_group8"	5005490	5007907	1638	"Dpse\GA10055"
"FBgn0070115"	"3_"	15720314	15732757	4320	"Dpse\GA10056"
"FBgn0070116"	"3_"	3019209	3024872	4698	"Dpse\GA10057"
"FBgn0070117"	"3_"	7441809	7449721	2616	"Dpse\GA10058"
"FBgn0070119"	"XR_group8"	4026109	4027973	1596	"Dpse\GA10060"
"FBgn0070120"	"4_group4"	5991204	5994713	3231	"Dpse\GA10061"
"FBgn0070121"	"2_"	27041680	27043571	1401	"Dpse\GA10062"
"FBgn0070122"	"XR_group8"	4041318	4045771	1797	"Dpse\GA10063"
"FBgn0070123"	"XR_group3a"	1094649	1099738	3006	"Dpse\GA10064"
"FBgn0070124"	"2_"	5423583	5424233	651	"Dpse\GA10065"
"FBgn0070125"	"2_"	27138671	27140571	1719	"Dpse\GA10066"
"FBgn0070128"	"2_"	22754350	22770620	2046	"Dpse\GA10069"
"FBgn0070129"	"2_"	26381838	26383034	1071	"Dpse\GA10070"
"FBgn0070132"	"XR_group8"	5174891	5176604	1263	"Dpse\GA10073"
"FBgn0070133"	"3_"	4399706	4400905	1200	"Dpse\GA10074"
"FBgn0070134"	"3_"	4384134	4386010	1737	"Dpse\GA10075"
"FBgn0070135"	"3_"	1184385	1188979	687	"Dpse\GA10076"
"FBgn0070136"	"XR_group8"	5178724	5185295	5466	"Dpse\GA10077"
"FBgn0070137"	"3_"	4365292	4369749	1296	"Dpse\GA10078"
"FBgn0070138"	"3_"	5002388	5015774	1710	"Dpse\GA10079"
"FBgn0070139"	"3_"	5016934	5021505	4380	"Dpse\GA10080"
"FBgn0070140"	"3_"	5031659	5034350	423	"Dpse\GA10081"
"FBgn0070141"	"2_"	26657554	26659696	1698	"Dpse\GA10082"
"FBgn0070142"	"XR_group8"	4056715	4057714	867	"Dpse\GA10083"
"FBgn0070143"	"3_"	5050357	5113937	2298	"Dpse\GA10084"
"FBgn0070144"	"XR_group8"	5213507	5217507	1728	"Dpse\GA10085"
"FBgn0070145"	"3_"	5101958	5105889	1869	"Dpse\GA10086"
"FBgn0070146"	"2_"	11655715	11665449	2923	"Dpse\GA10087"
"FBgn0070147"	"XR_group8"	5243170	5245663	2223	"Dpse\GA10088"
"FBgn0070148"	"3_"	5126707	5132204	4944	"Dpse\GA10089"
"FBgn0070149"	"4_group4"	5982261	5986028	3537	"Dpse\GA10090"
"FBgn0070151"	"XR_group8"	5340672	5341913	1107	"Dpse\GA10092"
"FBgn0070153"	"3_"	5133687	5134853	747	"Dpse\GA10094"
"FBgn0070154"	"XR_group8"	5343327	5352020	7470	"Dpse\GA10095"
"FBgn0070155"	"3_"	5154766	5155202	303	"Dpse\GA10096"
"FBgn0070156"	"3_"	5166892	5167904	957	"Dpse\GA10097"
"FBgn0070157"	"4_group1"	1676065	1680654	4077	"Dpse\GA10098"
"FBgn0070158"	"XR_group8"	6338296	6339261	966	"Dpse\GA10099"
"FBgn0070159"	"2_"	11521470	11526920	900	"Dpse\GA10100"
"FBgn0070160"	"4_group1"	1668982	1674515	2841	"Dpse\GA10101"
"FBgn0070161"	"3_"	15499660	15500688	1029	"Dpse\GA10102"
"FBgn0070162"	"XR_group3a"	618832	619146	315	"Dpse\GA10103"
"FBgn0070164"	"3_"	1865859	1867978	1929	"Dpse\GA10105"
"FBgn0070165"	"3_"	5198404	5200062	1596	"Dpse\GA10106"
"FBgn0070166"	"XR_group3a"	535198	539064	3720	"Dpse\GA10107"
"FBgn0070167"	"3_"	5213630	5254707	1860	"Dpse\GA10108"
"FBgn0070168"	"3_"	5302117	5302894	711	"Dpse\GA10109"
"FBgn0070172"	"3_"	5305844	5308092	2184	"Dpse\GA10113"
"FBgn0070173"	"2_"	2882275	2893756	1335	"Dpse\GA10114"
"FBgn0070174"	"3_"	5311037	5311741	585	"Dpse\GA10115"
"FBgn0070176"	"3_"	5316147	5321159	1266	"Dpse\GA10117"
"FBgn0070177"	"2_"	3008842	3009665	633	"Dpse\GA10118"
"FBgn0070178"	"4_group5"	440015	440992	978	"Dpse\GA10119"
"FBgn0070179"	"3_"	4879918	4881823	837	"Dpse\GA10120"
"FBgn0070180"	"XR_group3a"	270303	271439	999	"Dpse\GA10121"
"FBgn0070182"	"XR_group3a"	267942	269277	1188	"Dpse\GA10123"
"FBgn0070183"	"2_"	2871571	2872602	1032	"Dpse\GA10124"
"FBgn0070184"	"4_group1"	1672876	1673754	687	"Dpse\GA10125"
"FBgn0070185"	"4_group1"	1674942	1675798	726	"Dpse\GA10126"
"FBgn0070186"	"2_"	2851296	2852907	1554	"Dpse\GA10127"
"FBgn0070187"	"XR_group6"	5129088	5130627	1410	"Dpse\GA10128"
"FBgn0070189"	"XR_group6"	5649059	5650110	993	"Dpse\GA10130"
"FBgn0070191"	"2_"	2839852	2846052	1959	"Dpse\GA10132"
"FBgn0070192"	"4_group3"	3646689	3647921	717	"Dpse\GA10133"
"FBgn0070193"	"2_"	2837259	2838500	1242	"Dpse\GA10134"
"FBgn0070194"	"4_group3"	3676556	3678279	1587	"Dpse\GA10135"
"FBgn0070195"	"XR_group3a"	245083	250343	3930	"Dpse\GA10136"
"FBgn0070197"	"2_"	2922622	2924944	1238	"Dpse\GA10138"
"FBgn0070198"	"2_"	26201416	26208062	5181	"Dpse\GA10139"
"FBgn0070199"	"4_group1"	1682979	1689741	4959	"Dpse\GA10140"
"FBgn0070200"	"4_group4"	5977062	5981500	3993	"Dpse\GA10141"
"FBgn0070201"	"4_group4"	5995503	5996720	1218	"Dpse\GA10142"
"FBgn0070203"	"XR_group6"	5650621	5651920	1242	"Dpse\GA10144"
"FBgn0070205"	"4_group4"	5998023	5999271	1059	"Dpse\GA10146"
"FBgn0070208"	"2_"	12851930	12858416	5946	"Dpse\GA10149"
"FBgn0070209"	"3_"	4921263	4922313	567	"Dpse\GA10150"
"FBgn0070210"	"3_"	4931321	4933275	1890	"Dpse\GA10151"
"FBgn0070212"	"3_"	4947813	4948703	675	"Dpse\GA10153"
"FBgn0070214"	"3_"	4962709	4964873	1602	"Dpse\GA10155"
"FBgn0070215"	"2_"	12850109	12851271	1093	"Dpse\GA10156"
"FBgn0070216"	"3_"	4965681	4967591	1542	"Dpse\GA10157"
"FBgn0070217"	"2_"	20188165	20194259	2062	"Dpse\GA10158"
"FBgn0070218"	"2_"	12845862	12849692	3716	"Dpse\GA10159"
"FBgn0070219"	"4_group3"	3684524	3699942	4194	"Dpse\GA10160"
"FBgn0070220"	"3_"	4968350	4972282	3546	"Dpse\GA10161"
"FBgn0070221"	"2_"	12843775	12844584	810	"Dpse\GA10162"
"FBgn0070222"	"3_"	2752816	2753674	783	"Dpse\GA10163"
"FBgn0070224"	"2_"	12837443	12838412	740	"Dpse\GA10165"
"FBgn0070225"	"3_"	15136683	15138369	1464	"Dpse\GA10166"
"FBgn0070226"	"2_"	12832987	12835754	2436	"Dpse\GA10167"
"FBgn0070228"	"4_group4"	6043350	6047919	4353	"Dpse\GA10169"
"FBgn0070229"	"2_"	12828306	12830185	1733	"Dpse\GA10170"
"FBgn0070232"	"2_"	21748979	21752552	1749	"Dpse\GA10173"
"FBgn0070233"	"2_"	3058786	3060258	1303	"Dpse\GA10174"
"FBgn0070236"	"2_"	21743937	21744764	699	"Dpse\GA10177"
"FBgn0070237"	"4_group4"	6054984	6056278	1047	"Dpse\GA10178"
"FBgn0070238"	"XR_group3a"	214913	228553	11127	"Dpse\GA10179"
"FBgn0070239"	"4_group4"	6059351	6063620	1014	"Dpse\GA10180"
"FBgn0070240"	"2_"	18027903	18029303	1086	"Dpse\GA10181"
"FBgn0070241"	"2_"	20203689	20205477	1734	"Dpse\GA10182"
"FBgn0070242"	"3_"	13265467	13267358	1828	"Dpse\GA10183"
"FBgn0070248"	"3_"	13275985	13277568	1521	"Dpse\GA10189"
"FBgn0070249"	"3_"	13277917	13279559	1580	"Dpse\GA10190"
"FBgn0070251"	"2_"	3038440	3044219	993	"Dpse\GA10192"
"FBgn0070252"	"2_"	3024996	3027075	1761	"Dpse\GA10193"
"FBgn0070256"	"3_"	13315879	13318673	2547	"Dpse\GA10197"
"FBgn0070257"	"3_"	13322235	13323255	693	"Dpse\GA10198"
"FBgn0070258"	"XL_group1a"	6315978	6325079	6396	"Dpse\GA10199"
"FBgn0070260"	"4_group1"	988018	988844	768	"Dpse\GA10201"
"FBgn0070261"	"4_group1"	989335	990276	882	"Dpse\GA10202"
"FBgn0070262"	"2_"	26226055	26226996	810	"Dpse\GA10203"
"FBgn0070263"	"3_"	8783409	8784478	1014	"Dpse\GA10204"
"FBgn0070264"	"2_"	20108299	20109729	1188	"Dpse\GA10205"
"FBgn0070265"	"4_group1"	991985	992598	558	"Dpse\GA10206"
"FBgn0070266"	"XR_group3a"	197876	200380	2505	"Dpse\GA10207"
"FBgn0070267"	"XR_group6"	9511987	9514305	2319	"Dpse\GA10208"
"FBgn0070268"	"2_"	20119700	20130030	7035	"Dpse\GA10209"
"FBgn0070269"	"XR_group6"	9519630	9522360	2607	"Dpse\GA10210"
"FBgn0070270"	"4_group3"	3648901	3662724	7209	"Dpse\GA10211"
"FBgn0070271"	"2_"	20197192	20199183	1508	"Dpse\GA10212"
"FBgn0070272"	"2_"	26252223	26258799	2639	"Dpse\GA10213"
"FBgn0070273"	"2_"	15959040	15966542	3070	"Dpse\GA10214"
"FBgn0070275"	"2_"	15956406	15957376	906	"Dpse\GA10216"
"FBgn0070277"	"4_group3"	3632018	3643317	2202	"Dpse\GA10218"
"FBgn0070279"	"2_"	20209164	20211052	1889	"Dpse\GA10220"
"FBgn0070280"	"2_"	15886628	15894432	1090	"Dpse\GA10221"
"FBgn0070281"	"XR_group6"	9523411	9529702	2565	"Dpse\GA10222"
"FBgn0070282"	"2_"	16416667	16458440	1464	"Dpse\GA10223"
"FBgn0070283"	"2_"	20220233	20224490	2670	"Dpse\Pak1"
"FBgn0070284"	"2_"	20229500	20230411	849	"Dpse\GA10225"
"FBgn0070285"	"XR_group6"	9542531	9544024	408	"Dpse\GA10226"
"FBgn0070286"	"2_"	15671196	15671817	570	"Dpse\GA10227"
"FBgn0070287"	"2_"	3037163	3038227	936	"Dpse\GA10229"
"FBgn0070288"	"2_"	3035722	3036767	921	"Dpse\GA10230"
"FBgn0070289"	"4_group3"	4322682	4327303	4233	"Dpse\GA10231"
"FBgn0070290"	"2_"	15789764	15792415	1218	"Dpse\GA10232"
"FBgn0070291"	"4_group3"	4333628	4333972	345	"Dpse\GA10233"
"FBgn0070293"	"3_"	2954410	2955549	1023	"Dpse\GA10235"
"FBgn0070295"	"2_"	22455916	22458964	2811	"Dpse\GA10237"
"FBgn0070296"	"2_"	22448662	22449750	498	"Dpse\GA10238"
"FBgn0070297"	"3_"	9120573	9122638	1957	"Dpse\GA10239"
"FBgn0070298"	"2_"	22429580	22430318	609	"Dpse\GA10240"
"FBgn0070299"	"3_"	2972440	2973583	951	"Dpse\GA10241"
"FBgn0070300"	"3_"	2988374	2988756	318	"Dpse\GA10242"
"FBgn0070301"	"3_"	3012498	3015038	2541	"Dpse\GA10243"
"FBgn0070302"	"2_"	17461277	17463004	1606	"Dpse\GA10244"
"FBgn0070304"	"2_"	17459936	17461148	1022	"Dpse\GA10246"
"FBgn0070305"	"Unknown_group_152"	9258	11217	1623	"Dpse\GA10247"
"FBgn0070306"	"4_group3"	3813471	3816074	2487	"Dpse\GA10248"
"FBgn0070308"	"XR_group6"	2608530	2609513	984	"Dpse\GA10250"
"FBgn0070309"	"4_group3"	8007213	8008118	906	"Dpse\GA10251"
"FBgn0070310"	"4_group1"	1651406	1652299	768	"Dpse\GA10252"
"FBgn0070311"	"4_group3"	8013275	8014723	1254	"Dpse\GA10253"
"FBgn0070312"	"3_"	7659912	7661838	1815	"Dpse\GA10254"
"FBgn0070315"	"4_group3"	8015723	8017516	1737	"Dpse\GA10257"
"FBgn0070316"	"2_"	5302663	5303040	309	"Dpse\GA10258"
"FBgn0070317"	"4_group3"	8019896	8020661	642	"Dpse\GA10259"
"FBgn0070318"	"3_"	8917365	8918289	870	"Dpse\GA10260"
"FBgn0070319"	"2_"	5308750	5315007	1671	"Dpse\GA10261"
"FBgn0070320"	"4_group3"	10223642	10225754	1944	"Dpse\GA10262"
"FBgn0070321"	"XL_group1e"	3873336	3875146	1752	"Dpse\GA10263"
"FBgn0070322"	"4_group3"	4694580	4696241	1662	"Dpse\GA10264"
"FBgn0070325"	"XL_group1e"	4532192	4538776	2967	"Dpse\GA10267"
"FBgn0070326"	"4_group5"	402948	405698	2751	"Dpse\GA10268"
"FBgn0070327"	"XR_group8"	5747422	5748592	999	"Dpse\GA10269"
"FBgn0070329"	"4_group1"	1652719	1654847	1764	"Dpse\GA10271"
"FBgn0070330"	"XR_group8"	4306807	4308454	1254	"Dpse\GA10272"
"FBgn0070331"	"XL_group1e"	10043916	10047451	3141	"Dpse\GA10273"
"FBgn0070332"	"4_group1"	1642936	1648895	4497	"Dpse\Tep4"
"FBgn0070333"	"4_group5"	1143922	1145139	1158	"Dpse\GA10275"
"FBgn0070334"	"2_"	3055685	3058783	1461	"Dpse\GA10276"
"FBgn0070335"	"4_group5"	1665622	1667509	1758	"Dpse\GA10277"
"FBgn0070336"	"2_"	12824284	12828399	3629	"Dpse\GA10278"
"FBgn0070337"	"4_group3"	10225987	10227931	1545	"Dpse\GA10279"
"FBgn0070338"	"2_"	12831280	12832689	1287	"Dpse\GA10280"
"FBgn0070339"	"2_"	12836315	12837283	603	"Dpse\GA10281"
"FBgn0070340"	"4_group3"	10220794	10222311	1389	"Dpse\GA10282"
"FBgn0070342"	"2_"	12841929	12843780	1305	"Dpse\GA10284"
"FBgn0070343"	"2_"	12844680	12845929	1053	"Dpse\GA10285"
"FBgn0070344"	"4_group3"	8018257	8019567	1311	"Dpse\GA10286"
"FBgn0070345"	"4_group5"	419165	421000	1751	"Dpse\GA10287"
"FBgn0070346"	"2_"	12860906	12880975	6012	"Dpse\GA10288"
"FBgn0070347"	"3_"	14868483	14870862	1655	"Dpse\GA10289"
"FBgn0070348"	"4_group3"	8008364	8012328	2403	"Dpse\GA10290"
"FBgn0070349"	"3_"	8956521	8960936	1402	"Dpse\GA10291"
"FBgn0070351"	"4_group3"	7995995	7998187	2130	"Dpse\GA10293"
"FBgn0070353"	"4_group3"	2341158	2342927	1467	"Dpse\GA10295"
"FBgn0070354"	"4_group3"	3803161	3803781	621	"Dpse\GA10296"
"FBgn0070355"	"3_"	15426	15965	540	"Dpse\GA10297"
"FBgn0070356"	"4_group5"	456530	457573	984	"Dpse\GA10298"
"FBgn0070357"	"2_"	21499434	21500286	774	"Dpse\GA10299"
"FBgn0070358"	"2_"	22352607	22353010	342	"Dpse\GA10300"
"FBgn0070359"	"2_"	26224913	26225901	798	"Dpse\GA10301"
"FBgn0070360"	"4_group3"	3808593	3812921	2826	"Dpse\GA10302"
"FBgn0070361"	"4_group3"	3816199	3818853	2394	"Dpse\GA10303"
"FBgn0070362"	"XR_group6"	10033528	10034882	1290	"Dpse\GA10304"
"FBgn0070363"	"XR_group6"	3107536	3107973	288	"Dpse\GA10305"
"FBgn0070364"	"XR_group8"	7153145	7153938	738	"Dpse\GA10306"
"FBgn0070365"	"2_"	29359706	29361081	1311	"Dpse\GA10307"
"FBgn0070366"	"2_"	29364272	29370965	2385	"Dpse\GA10308"
"FBgn0070367"	"2_"	29345589	29347033	1311	"Dpse\GA10309"
"FBgn0070368"	"Unknown_group_95"	6952	7227	276	"Dpse\GA10310"
"FBgn0070369"	"2_"	20588846	20590285	1309	"Dpse\GA10311"
"FBgn0070370"	"XR_group6"	2618586	2621016	2298	"Dpse\GA10312"
"FBgn0070371"	"4_group3"	7991590	7993414	1761	"Dpse\GA10313"
"FBgn0070372"	"4_group3"	7963923	7966364	2355	"Dpse\GA10314"
"FBgn0070373"	"3_"	15779784	15780495	506	"Dpse\GA10315"
"FBgn0070374"	"2_"	24239825	24241532	1590	"Dpse\GA10316"
"FBgn0070375"	"XR_group6"	3169592	3170297	450	"Dpse\Obp69a"
"FBgn0070377"	"3_"	15735171	15736439	1029	"Dpse\GA10319"
"FBgn0070379"	"2_"	17052138	17055278	2811	"Dpse\GA10321"
"FBgn0070380"	"4_group3"	659199	661854	1494	"Dpse\GA10322"
"FBgn0070381"	"4_group5"	67734	68332	471	"Dpse\GA10323"
"FBgn0070382"	"4_group3"	645931	647336	1347	"Dpse\GA10324"
"FBgn0070385"	"3_"	2787248	2787551	240	"Dpse\GA10327"
"FBgn0070386"	"4_group5"	64107	67142	2352	"Dpse\GA10328"
"FBgn0070387"	"4_group5"	86682	88711	1848	"Dpse\GA10329"
"FBgn0070388"	"3_"	23596	24429	777	"Dpse\GA10330"
"FBgn0070389"	"4_group5"	130368	130841	474	"Dpse\GA10331"
"FBgn0070390"	"XR_group6"	9607227	9608321	1095	"Dpse\GA10332"
"FBgn0070391"	"XR_group6"	9608565	9609437	813	"Dpse\GA10333"
"FBgn0070392"	"4_group1"	757146	757815	552	"Dpse\GA10334"
"FBgn0070393"	"XR_group6"	9637961	9638955	870	"Dpse\GA10335"
"FBgn0070394"	"4_group3"	640862	643464	2286	"Dpse\GA10336"
"FBgn0070395"	"XR_group6"	9646334	9647122	789	"Dpse\GA10337"
"FBgn0070397"	"XR_group6"	9730496	9739892	1143	"Dpse\GA10339"
"FBgn0070398"	"2_"	19817436	19818318	813	"Dpse\GA10340"
"FBgn0070399"	"XR_group8"	3435639	3437298	1593	"Dpse\GA10341"
"FBgn0070400"	"4_group4"	3873511	3875705	1965	"Dpse\GA10342"
"FBgn0070401"	"XR_group8"	3446031	3449438	2016	"Dpse\GA10343"
"FBgn0070402"	"4_group1"	753320	754869	1491	"Dpse\GA10344"
"FBgn0070403"	"XR_group8"	3463044	3464680	1581	"Dpse\GA10345"
"FBgn0070404"	"XR_group6"	3240561	3244225	1944	"Dpse\GA10346"
"FBgn0070405"	"XR_group8"	3472200	3473829	1578	"Dpse\GA10347"
"FBgn0070406"	"XR_group6"	5159976	5161702	1596	"Dpse\GA10348"
"FBgn0070407"	"XR_group8"	3532456	3563052	1902	"Dpse\GA10349"
"FBgn0070409"	"4_group1"	743961	747147	2862	"Dpse\GA10351"
"FBgn0070411"	"4_group1"	742567	743763	1197	"Dpse\GA10353"
